A
Arabia Saudita
PIZZI Juan Antonio
"ABDULLAH ALMUAIOUF" 1 
"YASSER ALMOSAILEM" 21 
"MOHAMMED ALOWAIS" 22 
"MANSOUR ALHARBI" 2 
"OSAMA HAWSAWI" 3 
"ALI ALBULAYHI" 4 
"OMAR HAWSAWI" 5 
"MOHAMMED ALBURAYK" 6 
"YASSER ALSHAHRANI" 13 
"MOTAZ HAWSAWI" 23 
"SALMAN ALFARAJ" 7 
"YAHIA ALSHEHRI" 8 
"HATAN BAHBRI" 9 
"ABDULMALEK ALKHAIBRI" 11 
"MOHAMED KANNO" 12 
"ABDULLAH OTAYF" 14 
"ABDULLAH ALKHAIBARI" 15 
"HUSSAIN ALMOQAHWI" 16 
"TAISEER ALJASSAM" 17 
"SALEM ALDAWSARI" 18 
"MOHAMMED ALSAHLAWI" 10 
"FAHAD ALMUWALLAD" 19 
"MUHANNAD ASIRI" 20 
